84,14,Dadeldhura,6221,2813.05256,766.539427,121.925,17.1875
85,1,Taplejung,8710,1791.04477,766.539427,125.436363,17.5401649
86,2,Dhankuta,8650,2720.23121,1778.966,92.025,20.6826308
87,3,Okhaldhunga,5130,2115.00974,766.539427,137.091666,18.1011498
88,4,Bhaktapur,4326,4506.01017,6255.775,118.15,14.6168894
89,5,Lalitpur,4680,4500,766.539427,107.970833,17.5981876
90,6,Kathmandu,8050,4434.7826,4437.35,100.991666,20.025015
91,7,Nuwakot,18965,3042.44661,766.539427,74.5,22.7920555
92,8,Syangja,17550,2939.54416,766.539427,247.25,21.5816733
93,9,Palpa,8575,2450.02915,731.895,110.041666,20.3248883
94,10,Jumla,2964,1799.93252,766.539427,58.4833333,13.6790922
95,11,Surkhet,13800,3200,568.193,146.441666,22.3895098
96,12,Dang,35050,3211.18402,2582.585,130,22.6968158
97,13,Doti,7570,2377.80713,180.2,121.625,22.7620756
98,14,Dadeldhura,6221,2099.98392,982.603,147.008333,17.4452093
99,1,Taplejung,9710,2070,766.539427,149.945454,15.8041666
100,2,Dhankuta,9412,2332.87292,1962.79,72.6666666,21.1541666
101,3,Okhaldhunga,5030,1958.25049,766.539427,130.625,18.1458333
102,4,Bhaktapur,4300,5400,15125.05,152.25,15.0625
103,5,Lalitpur,4650,4600,766.539427,120.65,18.2166666
104,6,Kathmandu,8025,5200,9299.35,123.483333,20.2708333
105,7,Nuwakot,16625,3298.82706,97.8388886,97.8388886,119.580863
106,8,Syangja,19455,2993.57491,766.539427,241.675,21.825
107,9,Palpa,9561,2636.75347,844.45,119.954545,18.1666666
108,10,Jumla,2750,1789.0909,766.539427,65.2666666,13.7833333
109,11,Surkhet,13870,3419.97116,731.95,89.0333333,22.9041666
110,12,Dang,38500,3012,4183.75,126.041666,22.6208333
111,13,Doti,7570,2377.80713,249.349,79.75,23.0083333
112,14,Dadeldhura,6221,2279.69779,766.539427,124.2,17.4125
113,1,Taplejung,10477,2115.77741,766.539427,119.958333,17.3916666
114,2,Dhankuta,8877,2207.95313,2111.75,68.2166666,21.1291666
115,3,Okhaldhunga,6573,2129.92545,766.539427,172.275,17.7166666
116,4,Bhaktapur,4252,5936.40639,115.139814,115.139814,127.933127
117,5,Lalitpur,4600,5799.13043,25.4023147,25.4023147,45.1596706
118,6,Kathmandu,8000,5760,7730.1,139.825,20.1125
119,7,Nuwakot,14625,3860.03418,97.8388886,97.8388886,119.580863
120,8,Syangja,17000,3419.41176,206.502777,206.502777,229.44753
121,9,Palpa,8750,3346.28571,72.4388044,72.4388044,88.5363165
122,10,Jumla,3000,1200,766.539427,72.9083333,13.0458333
123,11,Surkhet,14600,3719.04109,728.5,140.55,22.4791666
124,12,Dang,38300,4100,3201.315,119.541666,22.6
125,13,Doti,9750,2500,276.709,98.0833333,23.5708333
126,14,Dadeldhura,6221,2440.44365,766.539427,124.391666,16.4833333
